round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_neuron,shapes
7,111.57074737548828,0.37172237038612366,1.0734279155731201,0.447638601064682,relu,7392,0.8821999999999999,500,1997,6,2115,triangle
15,0.9988018274307251,0.5208226442337036,1.013840675354004,0.4969199299812317,relu,2073,0.18639999999999998,500,2292,9,1643,triangle
49,365.82421875,0.357326477766037,1.0729389190673828,0.447638601064682,relu,2073,0.9801999999999998,500,1466,3,168,triangle
6,1.049399495124817,0.44832906126976013,1.0250802040100098,0.4866529703140259,relu,10347,0.1374,500,2882,3,522,triangle
8,0.9969481825828552,0.5146529674530029,1.0095516443252563,0.48254621028900146,relu,9362,0.049199999999999994,500,2410,8,1525,funnel
6,1.4250905513763428,0.35424163937568665,1.0605658292770386,0.47227925062179565,relu,18621,0.5489999999999999,500,2587,2,2233,funnel
10,0.9977869987487793,0.5172236561775208,1.010637640953064,0.48459959030151367,relu,10938,0.08839999999999998,500,2646,9,2056,funnel
25,6.129709720611572,0.3228791654109955,1.0950642824172974,0.447638601064682,relu,12514,0.7057999999999999,500,227,9,935,brick
10,1.09807550907135,0.42982006072998047,1.071877121925354,0.42505133152008057,relu,15666,0.46079999999999993,500,2233,5,1348,triangle
13,0.9997977018356323,0.5110539793968201,1.0152325630187988,0.5010266900062561,relu,2270,0.2648,500,1525,4,1112,triangle
6,3.9146695137023926,0.3686375319957733,1.0768918991088867,0.447638601064682,relu,10150,0.7743999999999999,500,1112,3,1584,brick
8,1.2558611631393433,0.43547558784484863,1.024870753288269,0.5051334500312805,relu,15863,0.4999999999999999,500,2233,2,2410,funnel
23,1.0034083127975464,0.5043701529502869,1.007205843925476,0.4989733099937439,relu,2664,0.36279999999999996,500,2882,5,227,funnel
95,1.0827772617340088,0.4796915054321289,1.0102193355560303,0.4989733099937439,relu,1482,0.4901999999999999,500,1230,0,2528,triangle
49,1.1386734247207642,0.4714652895927429,1.0151095390319824,0.4948665201663971,relu,12711,0.5979999999999999,500,2233,0,2705,triangle
4,2.46071720123291,0.3485861122608185,1.0973434448242188,0.4496919810771942,relu,4634,0.6273999999999998,500,2056,8,2292,brick
19,0.9907704591751099,0.5146529674530029,1.0177578926086426,0.4928131401538849,relu,19015,0.08839999999999998,500,168,7,1466,funnel
6,1.0261635780334473,0.47043702006340027,1.0211505889892578,0.5010266900062561,relu,7392,0.17659999999999998,500,2705,3,286,triangle
21,1.0196335315704346,0.4925449788570404,0.9980236291885376,0.5112936496734619,relu,4831,0.17659999999999998,500,522,1,581,triangle
9,2.1021573543548584,0.3784061670303345,1.039567232131958,0.5092402696609497,relu,16454,0.6763999999999999,500,2174,3,522,funnel
4,1.4929454326629639,0.36709511280059814,1.0977874994277954,0.29568788409233093,relu,14287,0.5489999999999999,500,1348,9,2292,brick
11,0.9925118088722229,0.5125964283943176,1.0165787935256958,0.5030800700187683,relu,1088,0.27459999999999996,500,935,6,2115,triangle
10,2.3141050338745117,0.3892030715942383,1.0615509748458862,0.447638601064682,relu,10544,0.7449999999999999,500,1820,3,2941,funnel
14,1.0264188051223755,0.4817480742931366,1.0104763507843018,0.5071868300437927,relu,17045,0.39219999999999994,500,168,2,1466,funnel
9,1.2912660837173462,0.40822622179985046,1.0165680646896362,0.4989733099937439,relu,2861,0.5685999999999999,500,1879,2,1112,triangle
25,212743.640625,0.3485861122608185,1.0889989137649536,0.447638601064682,relu,8968,0.9703999999999998,500,1584,8,1761,brick
4,1.4297025203704834,0.4241645336151123,1.1435548067092896,0.5010266900062561,relu,4043,0.5293999999999999,500,1643,2,2115,brick
16,1078.3465576171875,0.3444730043411255,1.078499674797058,0.447638601064682,relu,17636,0.9409999999999998,500,1053,6,2823,triangle
8,55.65793991088867,0.3485861122608185,1.0677123069763184,0.447638601064682,relu,12514,0.9115999999999999,500,1230,4,2056,brick
4,1.1080617904663086,0.3897172212600708,1.0904814004898071,0.3305954933166504,relu,3058,0.41179999999999994,500,1997,6,2115,brick
12,0.994574248790741,0.5059126019477844,1.0193105936050415,0.4969199299812317,relu,7195,0.07859999999999998,500,1466,9,1997,brick
6,2.150463581085205,0.3578406274318695,1.0702046155929565,0.47638604044914246,relu,19606,0.7057999999999999,500,2351,3,404,triangle
90,1.3342862129211426,0.4149100184440613,1.0094037055969238,0.4969199299812317,relu,4043,0.7253999999999998,500,994,0,817,brick
48,0.9975494742393494,0.5161953568458557,1.002709150314331,0.5030800700187683,relu,16257,0.15699999999999997,500,2764,0,640,funnel
500,1.1610257625579834,0.4478149116039276,1.010788083076477,0.4989733099937439,relu,4043,0.8037999999999998,500,522,0,1171,brick
