round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_neuron,shapes
6,2.9839909076690674,0.24884319305419922,3.1609714031219482,0.2710472345352173,relu,8771,0.30399999999999994,500,2705,6,2528,funnel
24,22.962268829345703,0.032904885709285736,3.4939041137695312,0.2710472345352173,relu,13105,0.9213999999999998,500,1230,3,50,triangle
182,0.9967464208602905,0.5897172093391418,1.2273879051208496,0.4928131401538849,relu,9362,0.32359999999999994,500,1112,1,227,brick
67,1.3058749437332153,0.5167095065116882,1.4095215797424316,0.5051334500312805,relu,18424,0.4019999999999999,500,1289,2,2646,triangle
45,7.375578880310059,0.0750642642378807,3.1010773181915283,0.2710472345352173,relu,19803,0.9507999999999999,500,1584,1,1053,funnel
7,5.461256980895996,0.13367609679698944,3.525175094604492,0.2710472345352173,relu,10938,0.7449999999999999,500,1761,6,1761,funnel
500,0.8605027794837952,0.6606683731079102,1.1699093580245972,0.5051334500312805,relu,2664,0.23539999999999997,500,2056,0,50,triangle
9,3.5027074813842773,0.19331619143486023,3.407512903213501,0.2710472345352173,relu,18030,0.6959999999999998,500,1643,4,1053,triangle
103,0.9675140380859375,0.6010282635688782,1.22519850730896,0.5010266900062561,relu,7392,0.1276,500,1053,2,109,brick
7,2.994311571121216,0.24884319305419922,3.104186773300171,0.2710472345352173,relu,12908,0.21579999999999996,500,2410,8,1112,brick
29,17.979433059692383,0.049357324838638306,3.4254817962646484,0.2710472345352173,relu,18621,0.9409999999999998,500,1525,2,817,funnel
10,3.014472007751465,0.24884319305419922,3.0030007362365723,0.2710472345352173,relu,17045,0.09819999999999998,500,2705,9,581,funnel
15,4678.25048828125,0.03547557815909386,3.5371251106262207,0.2710472345352173,relu,13302,0.9605999999999998,500,994,6,1584,triangle
81,1.539520502090454,0.5064267516136169,1.880017876625061,0.46817249059677124,relu,300,0.4215999999999999,500,2587,8,2056,brick
9,3.0117316246032715,0.24884319305419922,3.210332155227661,0.2710472345352173,relu,15469,0.37259999999999993,500,1466,7,463,brick
9,2.875037670135498,0.25809767842292786,2.895124912261963,0.40451744198799133,relu,13105,0.27459999999999996,500,2646,4,1584,funnel
10,21673.796875,0.05038560554385185,3.536943197250366,0.2710472345352173,relu,3649,0.9507999999999999,500,2764,8,1938,brick
14,61.71684265136719,0.062210798263549805,3.4639604091644287,0.2710472345352173,relu,16848,0.9213999999999998,500,2351,4,2410,brick
12,5.537779808044434,0.09974293410778046,3.5377681255340576,0.2710472345352173,relu,12120,0.7547999999999998,500,1053,6,1879,brick
53,83.70753479003906,0.038046274334192276,3.4627933502197266,0.2648870646953583,relu,2270,0.9801999999999998,500,1584,2,404,triangle
500,1.1947977542877197,0.570694088935852,1.3509128093719482,0.4969199299812317,relu,7786,0.36279999999999996,500,935,0,2115,funnel
500,207.07498168945312,0.04832904785871506,3.52040958404541,0.04312115162611008,relu,12514,0.9507999999999999,500,168,6,1466,brick
9,2.945807456970215,0.2483290433883667,3.0397799015045166,0.2710472345352173,relu,16060,0.31379999999999997,500,2646,5,1584,funnel
12,2.863515615463257,0.2503856122493744,2.8856489658355713,0.3408624231815338,relu,4240,0.21579999999999996,500,2292,4,758,triangle
9,3.145930051803589,0.23393316566944122,3.3162314891815186,0.2710472345352173,relu,11332,0.6273999999999998,500,1466,4,2410,triangle
21,3.034566640853882,0.24884319305419922,3.035010814666748,0.2710472345352173,relu,18621,0.3529999999999999,500,758,5,227,brick
11,3.037119150161743,0.24061696231365204,3.0743203163146973,0.2710472345352173,relu,10544,0.5881999999999998,500,1407,3,2292,triangle
4,677.4867553710938,0.044215939939022064,3.5354106426239014,0.0533880889415741,relu,2073,0.9213999999999998,500,1761,6,345,funnel
23,1103.1917724609375,0.02930591255426407,3.5484976768493652,0.04517453908920288,relu,3255,0.9409999999999998,500,640,6,345,funnel
14,3.2126553058624268,0.22365038096904755,3.224102258682251,0.2710472345352173,relu,16454,0.6567999999999998,500,1289,3,1171,funnel
10,2.962981700897217,0.24884319305419922,2.9325616359710693,0.2710472345352173,relu,4831,0.019799999999999998,500,2764,8,758,funnel
54,1.9466164112091064,0.43187659978866577,1.9065052270889282,0.4948665201663971,relu,891,0.46079999999999993,500,994,3,50,brick
500,1.0356630086898804,0.5629820227622986,1.1861602067947388,0.4969199299812317,relu,10938,0.7547999999999998,500,2528,0,286,triangle
64,1.2075773477554321,0.5475578308105469,1.3888550996780396,0.4969199299812317,relu,6801,0.21579999999999996,500,1643,3,1112,funnel
500,68.43233489990234,0.05809768661856651,3.523719310760498,0.2710472345352173,relu,10347,0.9017999999999998,500,168,9,640,triangle
84,1.0544060468673706,0.578920304775238,1.2500470876693726,0.4948665201663971,relu,15075,0.20599999999999996,500,817,2,2410,triangle
34,3.0756773948669434,0.24884319305419922,3.0816752910614014,0.2710472345352173,relu,19803,0.22559999999999997,500,345,7,2174,brick
10,6.156781196594238,0.09511568397283554,3.543039321899414,0.2710472345352173,relu,5225,0.7351999999999999,500,876,7,522,brick
9,2.978480815887451,0.24884319305419922,3.094844341278076,0.2710472345352173,relu,1482,0.28439999999999993,500,404,6,1466,funnel
471,0.7948954701423645,0.6755784153938293,1.165908694267273,0.47433266043663025,relu,14484,0.11779999999999997,500,2823,0,50,funnel
9,3.0641777515411377,0.23444730043411255,3.0780837535858154,0.2710472345352173,relu,19212,0.5979999999999999,500,2705,3,1643,funnel
