round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_neuron,shapes
16,841625.25,0.033933162689208984,3.5478694438934326,0.2648870646953583,relu,16060,0.9703999999999998,500,1938,9,1112,brick
43,1.1927708387374878,0.5516709685325623,1.3357948064804077,0.5236139893531799,relu,18424,0.31379999999999997,500,2410,2,876,brick
60,1.439797282218933,0.5167095065116882,1.426400065422058,0.5195071697235107,relu,17833,0.41179999999999994,500,1820,2,1466,triangle
5,4.262006759643555,0.14910025894641876,3.5433547496795654,0.2648870646953583,relu,13105,0.6959999999999998,500,935,8,2587,funnel
13,2.9743597507476807,0.2570694088935852,3.006279706954956,0.2648870646953583,relu,3058,0.10799999999999997,500,168,7,2705,funnel
55,1.633654236793518,0.47660669684410095,1.7001569271087646,0.4969199299812317,relu,19803,0.41179999999999994,500,1879,3,1761,triangle
8,3.001920223236084,0.2570694088935852,3.2729270458221436,0.2648870646953583,relu,2467,0.39219999999999994,500,817,7,2587,funnel
14,3.007939100265503,0.2570694088935852,3.009355068206787,0.2648870646953583,relu,13696,0.23539999999999997,500,227,7,2410,triangle
71,0.8586854934692383,0.6462724804878235,1.200667381286621,0.4866529703140259,relu,3255,0.15699999999999997,500,2764,1,227,brick
431,1.5533013343811035,0.47814908623695374,1.565651297569275,0.5030800700187683,relu,13499,0.11779999999999997,500,109,5,168,triangle
500,0.9732813239097595,0.6138817667961121,1.2305066585540771,0.46611911058425903,relu,5028,0.22559999999999997,500,1466,0,1879,triangle
43,1.4182860851287842,0.5043701529502869,1.5424771308898926,0.5112936496734619,relu,14090,0.32359999999999994,500,1997,3,2351,triangle
29,3.230997085571289,0.2544987201690674,3.1897311210632324,0.2648870646953583,relu,12711,0.41179999999999994,500,50,7,994,triangle
5,11.205796241760254,0.1069408729672432,3.5453577041625977,0.2648870646953583,relu,7589,0.7449999999999999,500,2764,8,1584,funnel
256,1.4433681964874268,0.49151670932769775,1.3377314805984497,0.521560549736023,relu,2467,0.7743999999999999,500,2292,1,50,triangle
91,1.2663555145263672,0.5413881540298462,1.4370049238204956,0.5071868300437927,relu,3058,0.23539999999999997,500,935,3,935,triangle
151,1.5529364347457886,0.4694087505340576,1.4873247146606445,0.5154004096984863,relu,18621,0.4705999999999999,500,286,2,1702,funnel
10,3.0106124877929688,0.2570694088935852,3.120652914047241,0.2648870646953583,relu,8377,0.25499999999999995,500,1702,8,463,triangle
500,1.2191120386123657,0.5218508839607239,1.2660905122756958,0.47638604044914246,relu,1088,0.6665999999999999,500,640,0,994,funnel
7,3.0467183589935303,0.25347045063972473,3.4700305461883545,0.2648870646953583,relu,13302,0.5489999999999999,500,2764,7,463,triangle
16,3.0914456844329834,0.2575835585594177,3.3601484298706055,0.2648870646953583,relu,17242,0.5097999999999999,500,1112,6,817,funnel
52,0.8254287838935852,0.6483290195465088,1.2270095348358154,0.4496919810771942,relu,6013,0.019799999999999998,500,2469,2,2115,triangle
500,3.024360418319702,0.2565552592277527,3.277949810028076,0.2648870646953583,relu,16060,0.6763999999999999,500,227,8,1230,triangle
72,1.3965518474578857,0.4946015477180481,1.5108287334442139,0.5112936496734619,relu,5225,0.5196,500,2233,2,1761,triangle
32,3.046834945678711,0.25347045063972473,3.1026885509490967,0.2648870646953583,relu,16257,0.4999999999999999,500,522,4,2233,brick
17,3.209303379058838,0.23393316566944122,3.1497254371643066,0.2648870646953583,relu,10347,0.27459999999999996,500,1879,8,50,funnel
69,1.0777263641357422,0.5712082386016846,1.519975185394287,0.47843942046165466,relu,10741,0.049199999999999994,500,1584,8,994,brick
8,3.15932035446167,0.23804627358913422,3.431767463684082,0.2648870646953583,relu,1679,0.6175999999999999,500,1584,5,640,triangle
11,48.821990966796875,0.03239074721932411,3.5445754528045654,0.26283368468284607,relu,10938,0.8331999999999998,500,522,7,286,brick
10,2.9715781211853027,0.2570694088935852,3.059730291366577,0.2648870646953583,relu,6801,0.29419999999999996,500,345,5,2823,funnel
30,3.066499948501587,0.2570694088935852,3.058271884918213,0.2648870646953583,relu,4437,0.36279999999999996,500,345,5,404,funnel
7,3.0446131229400635,0.2565552592277527,3.476585865020752,0.2648870646953583,relu,18818,0.5196,500,2528,8,699,triangle
87,0.9333420991897583,0.6061696410179138,1.2088857889175415,0.4866529703140259,relu,13696,0.37259999999999993,500,2410,1,2764,brick
500,2.9184415340423584,0.21131105720996857,2.2086899280548096,0.2772074043750763,relu,9953,0.9801999999999998,500,1289,0,2056,brick
