round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_neuron,shapes
85,1.1764990091323853,0.4411311149597168,0.9586031436920166,0.5564681887626648,relu,2467,0.6077999999999999,500,1702,0,he_normal,581,triangle
63,0.993869960308075,0.5156812071800232,0.9530261754989624,0.558521568775177,relu,3649,0.30399999999999994,500,109,2,glorot_normal,1643,triangle
245,0.991230309009552,0.5197943449020386,0.9647956490516663,0.5523613691329956,relu,497,0.30399999999999994,500,168,0,glorot_normal,2469,triangle
500,0.9937850832939148,0.523907482624054,0.9757114052772522,0.5523613691329956,relu,3649,0.2354,500,168,0,glorot_normal,581,brick
7,1.0897173881530762,0.45038560032844543,1.0876400470733643,0.4517453908920288,relu,2467,0.7547999999999998,500,2587,4,glorot_normal,1643,brick
484,1.0227131843566895,0.48894602060317993,1.009813904762268,0.521560549736023,relu,497,0.7547999999999998,500,109,2,glorot_normal,2469,brick
44,0.9820844531059265,0.5223650336265564,0.956824779510498,0.5420944690704346,relu,3649,0.2354,500,1702,5,glorot_normal,2115,funnel
34,1.1830397844314575,0.4555269777774811,0.9631008505821228,0.546201229095459,relu,497,0.6175999999999999,500,1702,0,he_normal,2469,brick
11,1.0640085935592651,0.46169665455818176,1.0772051811218262,0.4517453908920288,relu,3649,0.6077999999999999,500,1702,5,glorot_normal,2469,brick
11,0.9862088561058044,0.5156812071800232,0.9585858583450317,0.5482546091079712,relu,694,0.2354,500,2174,2,glorot_normal,2115,brick
414,0.9892142415046692,0.5233933329582214,0.9727840423583984,0.5318275094032288,relu,1876,0.0198,500,168,0,glorot_normal,2115,brick
8,1.9048136472702026,0.40771207213401794,0.9868453145027161,0.5277207493782043,relu,497,0.6077999999999999,500,109,2,he_normal,2115,funnel
31,0.9963400363922119,0.5146529674530029,0.9605933427810669,0.5441478490829468,relu,497,0.7253999999999998,500,1702,2,glorot_normal,1112,brick
500,1.022148847579956,0.4899742901325226,0.9742210507392883,0.5379877090454102,relu,1285,0.2354,500,109,0,he_normal,2469,brick
13,1.216497778892517,0.4257069528102875,0.9897407293319702,0.5030800700187683,relu,1876,0.30399999999999994,500,1702,4,he_normal,1112,triangle
7,7.923505783081055,0.3876606822013855,1.1118943691253662,0.29979467391967773,relu,3649,0.6077999999999999,500,168,5,he_normal,581,triangle
78,1.143652081489563,0.4560411274433136,0.9632043838500977,0.5523613691329956,relu,3649,0.5489999999999999,500,2587,0,he_normal,2469,triangle
14,3.020379066467285,0.3665809631347656,1.035186529159546,0.533880889415741,relu,2467,0.5489999999999999,500,2587,5,he_normal,581,triangle
7,20.778661727905273,0.35012853145599365,1.045241117477417,0.47638604044914246,relu,3649,0.7253999999999998,500,2174,5,he_normal,50,funnel
7,25.853612899780273,0.36246785521507263,1.073158860206604,0.4517453908920288,relu,497,0.7547999999999998,500,109,5,he_normal,2115,triangle
