round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_neuron,shapes
38,0.9879129528999329,0.5208226442337036,0.9739962220191956,0.533880889415741,relu,3649,0.2354,500,1702,2,glorot_normal,1112,brick
8,1.1040189266204834,0.44678664207458496,1.009568452835083,0.5112936496734619,relu,694,0.2354,500,168,5,he_normal,1112,triangle
31,1.2624894380569458,0.35886889696121216,1.0946855545043945,0.4435318410396576,relu,2467,0.7547999999999998,500,109,5,glorot_normal,581,triangle
362,1.0307146310806274,0.45912596583366394,1.0283820629119873,0.4435318410396576,relu,3649,0.5489999999999999,500,168,4,glorot_normal,50,triangle
31,0.9879410266876221,0.5177378058433533,0.9767060279846191,0.5297741293907166,relu,2467,0.5489999999999999,500,2174,2,glorot_normal,1112,brick
7,1.2438627481460571,0.4663239121437073,1.1084527969360352,0.5051334500312805,relu,1876,0.2354,500,1702,4,he_normal,2115,brick
61,4.1205735206604,0.3645244240760803,1.0641049146652222,0.4394250512123108,relu,3649,0.6175999999999999,500,109,4,he_normal,1643,brick
9,2.404069423675537,0.37326478958129883,1.0483652353286743,0.5133470296859741,relu,2467,0.5489999999999999,500,1702,4,he_normal,50,funnel
20,0.9956626892089844,0.5064267516136169,0.9867123961448669,0.5154004096984863,relu,2467,0.2354,500,2587,4,glorot_normal,2115,funnel
7,1.055723786354065,0.4580976963043213,1.070617914199829,0.4435318410396576,relu,1285,0.6175999999999999,500,2587,4,glorot_normal,2469,triangle
11,1.220220685005188,0.42982006072998047,1.0022680759429932,0.5174537897109985,relu,1876,0.30399999999999994,500,2174,4,he_normal,50,triangle
13,1.2174184322357178,0.3876606822013855,1.0908622741699219,0.4435318410396576,relu,3649,0.7547999999999998,500,168,5,glorot_normal,1643,triangle
36,1.0019997358322144,0.5095115900039673,0.9872021079063416,0.5195071697235107,relu,1876,0.30399999999999994,500,168,5,glorot_normal,2115,triangle
23,0.9959749579429626,0.5028277635574341,0.985392689704895,0.5174537897109985,relu,3649,0.30399999999999994,500,1702,4,glorot_normal,2469,triangle
14,23.548625946044922,0.3578406274318695,1.0699056386947632,0.453798770904541,relu,1285,0.7547999999999998,500,1702,5,he_normal,2115,triangle
80,1.0050724744796753,0.5023136138916016,0.9825355410575867,0.5236139893531799,relu,3649,0.5489999999999999,500,168,4,glorot_normal,2469,triangle
5,1.1920461654663086,0.4586118161678314,1.029957890510559,0.5030800700187683,relu,694,0.30399999999999994,500,2174,2,he_normal,1643,triangle
12,16.52530288696289,0.33264780044555664,1.0484814643859863,0.4455852210521698,relu,3649,0.7547999999999998,500,168,4,he_normal,581,brick
29,1.0143934488296509,0.48740360140800476,1.0043126344680786,0.5297741293907166,relu,1876,0.5489999999999999,500,2587,4,glorot_normal,2115,triangle
5,3.9461963176727295,0.38663238286972046,1.0503867864608765,0.5195071697235107,relu,1285,0.5489999999999999,500,2587,5,he_normal,2469,brick
12,2.742027997970581,0.3850899636745453,1.014313817024231,0.5010266900062561,relu,3649,0.5489999999999999,500,1702,4,he_normal,581,brick
46,1.0021849870681763,0.5064267516136169,0.9824216961860657,0.5195071697235107,relu,694,0.30399999999999994,500,109,5,glorot_normal,581,funnel
8,1.20846426486969,0.36503857374191284,1.057508111000061,0.41683778166770935,relu,3649,0.2354,500,2174,5,he_normal,581,funnel
15,1.1479319334030151,0.44832906126976013,1.050055742263794,0.46201232075691223,relu,2467,0.2354,500,2587,5,he_normal,2115,triangle
224,1.0510306358337402,0.46169665455818176,0.9904146194458008,0.5256673693656921,relu,3649,0.2354,500,168,4,he_normal,1643,brick
7,1.2340342998504639,0.4627249240875244,1.02926766872406,0.521560549736023,relu,1876,0.30399999999999994,500,1702,2,he_normal,1112,funnel
147,1.0453648567199707,0.45758354663848877,1.0682176351547241,0.4435318410396576,relu,1285,0.5489999999999999,500,168,5,glorot_normal,50,triangle
12,15.299727439880371,0.336760938167572,1.0407295227050781,0.4435318410396576,relu,2467,0.7547999999999998,500,1702,4,he_normal,2469,funnel
16,4.059535503387451,0.3701799511909485,1.0537734031677246,0.4517453908920288,relu,1285,0.6175999999999999,500,1702,5,he_normal,1112,funnel
500,1.0197603702545166,0.49562981724739075,1.000910758972168,0.5277207493782043,relu,2467,0.6175999999999999,500,168,2,glorot_normal,50,funnel
55,0.9907612800598145,0.5156812071800232,0.974982500076294,0.5318275094032288,relu,3649,0.2354,500,109,2,glorot_normal,2115,funnel
8,2.949917793273926,0.365552693605423,1.0540999174118042,0.5154004096984863,relu,694,0.5489999999999999,500,1702,5,he_normal,1112,brick
