round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_neuron,shapes
11,1.2396160364151,0.4987146556377411,1.024854302406311,0.5236139893531799,relu,2467,0.2354,500,2587,5,he_normal,2115,funnel
108,1.1398134231567383,0.4750642776489258,0.9815605282783508,0.5277207493782043,relu,2467,0.5489999999999999,500,2174,0,he_normal,50,triangle
22,0.9790383577346802,0.5305912494659424,0.9807648062705994,0.533880889415741,relu,694,0.30399999999999994,500,1702,4,glorot_normal,1643,triangle
260,0.9778168201446533,0.5264781713485718,0.9777033925056458,0.5256673693656921,relu,2467,0.2354,500,2174,0,glorot_normal,1643,funnel
28,1.0277284383773804,0.4987146556377411,0.9810842275619507,0.5297741293907166,relu,1285,0.2354,500,2587,0,he_normal,1643,triangle
132,0.9902340769767761,0.5244215726852417,0.9803693890571594,0.546201229095459,relu,3649,0.6175999999999999,500,2587,5,glorot_normal,581,funnel
16,4.768479824066162,0.34961438179016113,1.0967944860458374,0.35523614287376404,relu,2467,0.6175999999999999,500,168,4,he_normal,50,brick
69,0.9743822813034058,0.5336760878562927,0.9808107018470764,0.5256673693656921,relu,694,0.0198,500,168,2,glorot_normal,2115,brick
7,1.1227128505706787,0.40822622179985046,1.0932893753051758,0.4558521509170532,relu,1285,0.7547999999999998,500,1702,5,glorot_normal,1112,triangle
319,1.0449668169021606,0.45089974999427795,1.0666182041168213,0.4558521509170532,relu,694,0.6175999999999999,500,168,5,glorot_normal,50,funnel
20,11.492899894714355,0.3598971664905548,1.034738302230835,0.5195071697235107,relu,3649,0.7547999999999998,500,2587,4,he_normal,2115,triangle
7,1.6220176219940186,0.3377892076969147,1.2440407276153564,0.2279260754585266,relu,2467,0.2354,500,109,4,he_normal,2469,funnel
41,1.0066664218902588,0.48534703254699707,0.9997005462646484,0.533880889415741,relu,1876,0.5489999999999999,500,2587,5,glorot_normal,2469,funnel
13,1.0709288120269775,0.4452442228794098,1.069961667060852,0.4558521509170532,relu,1876,0.6077999999999999,500,109,4,glorot_normal,2469,triangle
9,0.986520528793335,0.5300770998001099,0.9862862825393677,0.5359342694282532,relu,1285,0.0198,500,2587,4,glorot_normal,1643,brick
102,1.0105605125427246,0.49768638610839844,0.9861817955970764,0.5318275094032288,relu,1285,0.7547999999999998,500,2174,2,glorot_normal,50,funnel
5,1.1172887086868286,0.3938303291797638,1.0947041511535645,0.4558521509170532,relu,694,0.7547999999999998,500,2174,5,glorot_normal,2469,triangle
26,1.191726565361023,0.4514138698577881,0.9869223237037659,0.533880889415741,relu,1285,0.6175999999999999,500,2587,0,he_normal,2469,triangle
5,1.8943861722946167,0.4221079647541046,1.1155790090560913,0.521560549736023,relu,694,0.6077999999999999,500,2174,2,he_normal,50,brick
4,1.5733152627944946,0.38663238286972046,1.0904011726379395,0.4558521509170532,relu,1876,0.7547999999999998,500,168,5,glorot_normal,2115,brick
4,2.7568044662475586,0.3902313709259033,1.2506364583969116,0.4558521509170532,relu,1285,0.6077999999999999,500,109,2,he_normal,2115,triangle
500,1.0343728065490723,0.4802056550979614,1.0167269706726074,0.5236139893531799,relu,1876,0.6175999999999999,500,109,2,glorot_normal,50,brick
6,1.0682958364486694,0.45038560032844543,1.0803492069244385,0.4558521509170532,relu,1285,0.6077999999999999,500,2587,5,glorot_normal,1643,brick
272,1.229068636894226,0.4113110601902008,0.9927647113800049,0.5154004096984863,relu,1876,0.7547999999999998,500,168,0,he_normal,1112,funnel
6,1.8429069519042969,0.37634962797164917,1.044665813446045,0.5030800700187683,relu,3649,0.5489999999999999,500,1702,2,he_normal,2469,triangle
19,0.9789363741874695,0.5249357223510742,0.9810362458229065,0.5297741293907166,relu,694,0.0198,500,109,2,glorot_normal,1643,triangle
4,1.4151633977890015,0.37583547830581665,1.0659891366958618,0.4558521509170532,relu,694,0.30399999999999994,500,109,4,he_normal,50,triangle
19,1.0847307443618774,0.5074549913406372,0.9891786575317383,0.5010266900062561,relu,1876,0.2354,500,2587,2,he_normal,2469,funnel
6,1.3182116746902466,0.3902313709259033,1.1069276332855225,0.42915812134742737,relu,3649,0.2354,500,168,4,he_normal,581,triangle
8,1.5511062145233154,0.4215938448905945,0.9867057800292969,0.5297741293907166,relu,1285,0.5489999999999999,500,2174,2,he_normal,50,triangle
25,0.9807788133621216,0.5295630097389221,0.9859297275543213,0.5297741293907166,relu,3649,0.0198,500,168,5,glorot_normal,2115,triangle
500,1.0052857398986816,0.5038560628890991,0.9894816279411316,0.5174537897109985,relu,2467,0.6077999999999999,500,168,0,glorot_normal,2469,brick
